[01:38:58] hvac contractor | West Miami FL | scraped 61, +0 leads | maps total: 2338
[01:39:27] hvac contractor | West Park FL | scraped 66, +3 leads | maps total: 2341
[01:39:50] hvac contractor | Westchester FL | scraped 60, +2 leads | maps total: 2343
[01:40:37] hvac contractor | Weston FL | scraped 64, +7 leads | maps total: 2350
[01:41:04] hvac contractor | Wilton Manors FL | scraped 65, +5 leads | maps total: 2355
[01:41:32] air conditioning repair | Aventura FL | scraped 59, +4 leads | maps total: 2359
[01:41:57] air conditioning repair | Bal Harbour FL | scraped 52, +5 leads | maps total: 2364
[01:42:58] air conditioning repair | Bay Harbor Islands FL | scraped 60, +3 leads | maps total: 2367
[01:43:22] air conditioning repair | Biscayne Park FL | scraped 62, +2 leads | maps total: 2369
[01:43:45] air conditioning repair | Boca Raton FL | scraped 69, +4 leads | maps total: 2373
[01:45:07] air conditioning repair | Boynton Beach FL | scraped 72, +2 leads | maps total: 2375
[01:45:33] air conditioning repair | Coconut Creek FL | scraped 79, +3 leads | maps total: 2378
[01:45:58] air conditioning repair | Coconut Grove FL | scraped 52, +2 leads | maps total: 2380
[01:46:26] air conditioning repair | Cooper City FL | scraped 55, +1 leads | maps total: 2381
[01:46:50] air conditioning repair | Coral Gables FL | scraped 57, +7 leads | maps total: 2388
[01:47:15] air conditioning repair | Coral Springs FL | scraped 80, +4 leads | maps total: 2392
[01:47:37] air conditioning repair | Coral Terrace FL | scraped 62, +0 leads | maps total: 2392
[01:48:01] air conditioning repair | Country Club FL | scraped 74, +0 leads | maps total: 2392
[01:49:31] air conditioning repair | Cutler Bay FL | scraped 58, +3 leads | maps total: 2395
[01:49:57] air conditioning repair | Dania Beach FL | scraped 74, +4 leads | maps total: 2399
[01:50:32] air conditioning repair | Davie FL | scraped 70, +3 leads | maps total: 2402
[01:50:57] air conditioning repair | Deerfield Beach FL | scraped 72, +2 leads | maps total: 2404
[01:51:25] air conditioning repair | Delray Beach FL | scraped 77, +5 leads | maps total: 2409
[01:51:55] air conditioning repair | Doral FL | scraped 64, +7 leads | maps total: 2416
[01:52:21] air conditioning repair | El Portal FL | scraped 60, +0 leads | maps total: 2416
[01:52:46] air conditioning repair | Florida City FL | scraped 53, +2 leads | maps total: 2418
[01:53:21] air conditioning repair | Fontainebleau FL | scraped 66, +2 leads | maps total: 2420
[01:53:49] air conditioning repair | Fort Lauderdale FL | scraped 78, +5 leads | maps total: 2425
[01:54:11] air conditioning repair | Golden Beach FL | scraped 70, +0 leads | maps total: 2425
[01:54:39] air conditioning repair | Greenacres FL | scraped 66, +9 leads | maps total: 2434
[01:55:14] air conditioning repair | Hallandale Beach FL | scraped 69, +2 leads | maps total: 2436
[01:55:42] air conditioning repair | Hialeah FL | scraped 66, +12 leads | maps total: 2520
[01:56:05] air conditioning repair | Hialeah Gardens FL | scraped 60, +2 leads | maps total: 2522
[01:56:30] air conditioning repair | Hillsboro Beach FL | scraped 55, +9 leads | maps total: 2531
[01:56:55] air conditioning repair | Hollywood FL | scraped 73, +5 leads | maps total: 2536
[01:57:57] air conditioning repair | Homestead FL | scraped 59, +12 leads | maps total: 2548
[01:58:27] air conditioning repair | Jupiter FL | scraped 72, +16 leads | maps total: 2564
[01:58:55] air conditioning repair | Kendall FL | scraped 61, +2 leads | maps total: 2566
[01:59:20] air conditioning repair | Key Biscayne FL | scraped 53, +5 leads | maps total: 2571
[01:59:44] air conditioning repair | Lake Park FL | scraped 78, +1 leads | maps total: 2572
[02:00:10] air conditioning repair | Lake Worth Beach FL | scraped 61, +2 leads | maps total: 2574
[02:00:35] air conditioning repair | Lantana FL | scraped 67, +5 leads | maps total: 2579
[02:00:59] air conditioning repair | Lauderdale Lakes FL | scraped 81, +1 leads | maps total: 2580
[02:01:24] air conditioning repair | Lauderhill FL | scraped 69, +1 leads | maps total: 2581
[02:01:46] air conditioning repair | Lighthouse Point FL | scraped 71, +1 leads | maps total: 2582
[02:02:41] air conditioning repair | Margate FL | scraped 76, +3 leads | maps total: 2585
[02:03:06] air conditioning repair | Medley FL | scraped 64, +1 leads | maps total: 2586
[02:03:28] air conditioning repair | Miami FL | scraped 62, +0 leads | maps total: 2586
[02:03:50] air conditioning repair | Miami Beach FL | scraped 62, +0 leads | maps total: 2586
